city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
namtsy,62.7161,129.6658,258.2,91,100,1.62,RU,1710292521
nkowakowa,-23.8878,30.2871,295.13,65,100,2.17,ZA,1710292522
soio,-6.1349,12.3689,300.88,90,93,3.57,AO,1710292523
acapulco de juarez,16.8634,-99.8901,300.05,83,0,5.14,MX,1710292506
itaituba,-4.2761,-55.9836,297.71,98,100,0.81,BR,1710292279
penaranda de bracamonte,40.9011,-5.2003,282.23,73,100,1.05,ES,1710292414
elmadag,39.9208,33.2308,282.23,56,100,2.42,TR,1710292531
asau,46.4333,26.4,277.75,98,100,1.78,RO,1710292532
borogontsy,62.6683,131.1683,258.86,92,100,2.54,RU,1710292534
loango,-4.6719,11.8312,300.32,92,100,1.13,CG,1710292536
illizi,26.4833,8.4667,290.24,24,100,3.24,DZ,1710292538
hang dong,18.687,98.9194,299.63,64,0,1.03,TH,1710292539
chekmagush,55.1319,54.6556,258.05,100,100,1.44,RU,1710292541
dolores hidalgo cuna de la independencia nacional,21.1561,-100.9308,297.52,12,44,3.37,MX,1710292535
boiling springs,35.0465,-81.9818,290.31,25,0,0.0,US,1710292547
queenstown,-31.8976,26.8753,290.2,85,99,1.18,ZA,1710292548
weining,26.85,104.2333,280.09,79,96,3.14,CN,1710292550
rudbar,30.15,62.6,281.1,63,0,7.04,AF,1710292552
port isabel,26.0734,-97.2086,296.2,84,100,4.02,US,1710292501
sao vicente,-23.9631,-46.3919,298.86,26,96,3.22,BR,1710292203
tadine,-21.55,167.8833,299.95,85,88,8.34,NC,1710292555
altai,46.3722,96.2583,269.66,31,32,1.68,MN,1710292557
pemangkat,1.1667,108.9667,300.13,80,97,3.72,ID,1710292558
mukdahan,16.5833,104.5,300.55,54,32,2.77,TH,1710292559
umluj,25.0213,37.2685,298.29,44,9,2.02,SA,1710292560
krasnyy kut,50.95,46.9667,264.92,96,18,2.94,RU,1710292560
achinsk,56.2694,90.4993,262.7,92,100,1.34,RU,1710292561
myeik,12.4333,98.6,299.79,70,100,1.2,MM,1710292561
murray bridge,-35.1167,139.2667,298.89,48,100,3.74,AU,1710292564
rosarito,32.3333,-117.0333,290.11,74,85,4.6,MX,1710292625
wenshui,28.4506,106.5267,283.7,95,100,1.2,CN,1710292626
livingston,55.9029,-3.5226,285.44,91,100,7.71,GB,1710292627
lamu,-2.2717,40.902,300.83,77,65,3.69,KE,1710292628
menongue,-14.6585,17.691,291.35,75,100,1.91,AO,1710292629
idrija,46.0028,14.0306,279.37,93,20,0.98,SI,1710292630
kargil,34.5667,76.1,254.88,90,97,1.25,IN,1710292630
flying fish cove,-10.4217,105.6791,299.97,83,75,5.14,CX,1710292631
bodo,67.28,14.405,273.17,56,0,7.2,NO,1710292632
rio grande,-32.035,-52.0986,297.01,84,100,6.27,BR,1710292265
happy valley-goose bay,53.3168,-60.3315,275.32,80,100,7.2,CA,1710292633
usogorsk,63.4106,48.6872,269.8,94,100,4.58,RU,1710292635
rouissat,31.9243,5.3502,287.13,27,0,2.76,DZ,1710292635
ocean city,39.2776,-74.5746,286.48,59,15,0.89,US,1710292581
kone,-21.0595,164.8658,303.95,67,73,3.02,NC,1710292571
laguna,38.421,-121.4238,290.62,60,20,1.54,US,1710292622
awjilah,29.1081,21.2869,289.43,38,1,6.26,LY,1710292641
bekondo,4.6819,9.3214,297.29,95,100,1.33,CM,1710292642
pervomayskoye,43.919,46.7102,272.82,89,14,3.53,RU,1710292642
labrador city,52.9463,-66.9114,268.25,78,100,3.93,CA,1710292513
susuman,62.7833,148.1667,247.03,98,94,0.89,RU,1710292647
itagiba,-14.2836,-39.8428,296.04,93,48,0.37,BR,1710292648
wenling,28.3669,121.36,282.18,67,100,2.93,CN,1710292649
mozarlandia,-14.7447,-50.5706,299.53,81,32,1.17,BR,1710292650
freetown,8.484,-13.2299,298.7,80,100,2.88,SL,1710292653
mirnyy,62.5353,113.9611,256.06,77,100,1.79,RU,1710292655
roxas,11.5853,122.7511,300.45,64,30,5.78,PH,1710292655
khovd,48.0056,91.6419,271.35,36,100,1.23,MN,1710292656
riyadh,24.6877,46.7219,287.23,26,8,2.52,SA,1710292507
safi,32.1667,-8.8333,286.97,76,100,3.57,MA,1710292664
mumford,5.2618,-0.759,300.55,89,100,4.23,GH,1710292668
makhambet,47.6667,51.5833,270.73,75,37,3.59,KZ,1710292669
ascoli piceno,42.8548,13.5749,282.73,86,7,0.45,IT,1710292671
colonia,50.9333,6.95,282.01,91,100,3.6,DE,1710292353
walvis bay,-22.9575,14.5053,289.87,88,81,3.94,NA,1710292672
aral,40.5156,81.2636,280.28,30,100,3.01,CN,1710292673
margate,51.3813,1.3862,284.21,92,100,2.68,GB,1710292424
amga,60.8953,131.9608,263.7,91,100,1.75,RU,1710292681
nicoya,10.1483,-85.452,301.22,61,25,6.26,CR,1710292685
fereydunshahr,32.941,50.121,269.85,36,0,1.39,IR,1710292687
qarazhal,48.0078,70.7903,263.86,94,9,5.06,KZ,1710292688
bima,-8.4667,118.7167,300.97,89,100,1.96,ID,1710292573
isangel,-19.55,169.2667,301.18,84,100,0.83,VU,1710292691
vorkuta,67.5,64.0,257.22,89,100,7.78,RU,1710292625
pottsville,40.6857,-76.1955,286.68,66,96,2.09,US,1710292697
saint-just-en-chaussee,49.505,2.4329,283.76,94,100,5.59,FR,1710292758
mwinilunga,-11.7358,24.4293,289.88,97,94,0.77,ZM,1710292759
ouddorp,51.8117,3.9347,283.73,90,100,6.81,NL,1710292760
agat village,13.3886,144.6585,300.67,85,100,4.63,GU,1710292761
rockport,28.0206,-97.0544,296.16,88,100,5.14,US,1710292763
puerto deseado,-47.7503,-65.8938,290.83,30,64,9.88,AR,1710292585
tomohon,1.3346,124.8392,298.67,78,100,2.15,ID,1710292766
kaspiyskiy,45.3929,47.3707,272.38,65,0,1.04,RU,1710292767
katrineholm,58.9959,16.2072,274.09,98,100,1.12,SE,1710292769
kenora,49.8167,-94.4337,277.69,70,75,3.09,CA,1710292770
dire,12.2833,-10.9667,303.38,18,100,0.87,ML,1710292771
zhelezinka,53.54,75.3072,249.44,100,100,1.08,KZ,1710292772
urangan,-25.3,152.9,298.26,87,95,2.68,AU,1710292772
quiindy,-25.9667,-57.2667,305.42,39,36,3.64,PY,1710292773
praia da vitoria,38.7333,-27.0667,289.68,88,75,5.68,PT,1710292773
bath,51.3779,-2.3591,285.23,89,100,5.39,GB,1710292692
virginia,37.5481,-77.4467,288.14,50,75,3.09,US,1710292501
tshabong,-26.05,22.45,299.25,32,66,4.31,BW,1710292777
fuxin,42.0156,121.6589,278.99,35,0,3.07,CN,1710292778
keminmaa,65.8596,24.8228,268.02,93,100,2.06,FI,1710292781
muisne,0.6,-80.0333,300.05,86,100,3.17,EC,1710292782
kukmor,56.1855,50.8944,260.13,100,98,1.94,RU,1710292784
krasnovishersk,60.4078,57.082,255.43,99,100,1.66,RU,1710292784
swakopmund,-22.6833,14.5333,289.81,86,88,1.34,NA,1710292786
amnat charoen,15.9167,104.75,302.19,51,42,4.4,TH,1710292788
sebeta,8.9167,38.6167,289.17,73,5,1.79,ET,1710292789
colchani,-20.3,-66.9333,287.15,57,100,6.09,BO,1710292790
sault ste. marie,46.5168,-84.3333,279.46,61,0,3.09,CA,1710292553
saynshand,44.8824,110.1163,265.19,83,11,2.38,MN,1710292792
canutama,-6.5339,-64.3831,299.17,88,76,0.58,BR,1710292793
sisimiut,66.9395,-53.6735,262.44,94,98,3.23,GL,1710292794
poronaysk,49.2167,143.1167,265.11,72,3,4.25,RU,1710292582
santa catalina,9.3337,122.8637,303.14,63,87,5.66,PH,1710292541
at taj,24.2049,23.2857,290.45,15,0,4.24,LY,1710292796
ghat,24.9647,10.1728,292.09,22,99,2.24,LY,1710292798
east ballina,-28.8667,153.5833,298.59,56,35,5.05,AU,1710292506
vung tau,10.346,107.0843,300.06,76,100,8.35,VN,1710292799
votkinsk,57.0486,53.9872,254.68,100,100,1.03,RU,1710292800
urumqi,43.801,87.6005,271.68,86,20,2.0,CN,1710292801
berdigestyakh,62.0989,126.6992,259.54,96,100,2.14,RU,1710292804
nouna,12.7333,-3.8667,303.31,15,96,3.36,BF,1710292806
timimoun,29.2639,0.231,290.33,26,34,4.66,DZ,1710292807
cruzeiro do sul,-29.5128,-51.9853,299.31,87,0,0.35,BR,1710292809
lata,40.1629,-8.3327,282.64,86,95,1.98,PT,1710292809
erenhot,43.6475,111.9767,272.64,54,0,3.1,CN,1710292532
abepura,-2.6333,140.5833,300.6,83,40,1.54,ID,1710292874
mahina,-17.5065,-149.489,305.02,70,0,5.66,PF,1710292878
shevchenko,48.5,35.0,275.55,48,100,5.86,UA,1710292879
mount holly,35.2982,-81.0159,289.42,41,0,0.89,US,1710292879
soligalich,59.0778,42.2864,272.42,96,100,3.17,RU,1710292881
salalah,17.0151,54.0924,300.2,83,75,1.03,OM,1710292883
luena,-11.7833,19.9167,292.25,94,100,1.54,AO,1710292886
grove,51.6095,-1.4219,285.4,89,75,5.14,GB,1710292886
kichmengskiy gorodok,59.9816,45.7854,268.12,95,100,3.13,RU,1710292888
mamou,10.5,-12.0,298.06,35,100,1.6,GN,1710292889
mujiayingzi,42.1167,118.7833,277.15,28,0,2.7,CN,1710292890
orange walk,17.8333,-88.8333,298.33,74,0,3.09,BZ,1710292890
mana,5.6592,-53.7767,299.47,87,100,4.53,GF,1710292892
miasskoye,55.2784,61.8905,261.64,100,68,2.02,RU,1710292893
kabinda,-6.1333,24.4833,293.03,97,73,1.21,CD,1710292894
cidreira,-30.1811,-50.2056,296.14,84,100,9.0,BR,1710292895
ketchikan,55.3422,-131.6461,279.14,93,100,4.12,US,1710292604
jeddah,21.5169,39.2192,301.07,47,0,0.0,SA,1710292896
las khorey,11.1595,48.1967,300.03,75,10,3.29,SO,1710292897
buta,2.7858,24.73,296.06,82,93,0.65,CD,1710292897
tarakan,3.3,117.6333,303.87,66,40,5.66,ID,1710292898
lone grove,34.1754,-97.2628,294.81,71,0,4.12,US,1710292900
kismayo,-0.3582,42.5454,300.89,78,57,4.77,SO,1710292901
bargaal,11.2864,51.0773,296.43,95,9,1.47,SO,1710292902
bamboo flat,11.7,92.7167,298.2,88,100,1.03,IN,1710292903
hithadhoo,-0.6,73.0833,301.13,64,70,1.98,MV,1710292903
lexington park,38.2668,-76.4538,288.18,51,0,2.06,US,1710292904
virac,13.6333,124.2167,296.85,68,27,4.11,PH,1710292904
mawu,29.5923,107.3139,284.71,90,100,0.61,CN,1710292908
dezhou,37.4486,116.2925,284.52,33,73,6.08,CN,1710292910
piacabucu,-10.4056,-36.4344,300.99,83,20,3.8,BR,1710292912
amos,48.5669,-78.1162,268.59,94,90,2.55,CA,1710292913
kendari,-3.945,122.4989,297.73,97,100,0.58,ID,1710292913
bandar lampung,-5.4254,105.258,297.24,96,100,1.91,ID,1710292914
charters towers,-20.1,146.2667,301.65,47,0,7.14,AU,1710292916
bahia de caraquez,-0.6,-80.4167,299.25,82,100,2.91,EC,1710292916
port douglas,-16.4833,145.4667,303.18,60,52,2.71,AU,1710292918
karayazi,39.7028,42.1456,262.61,81,11,0.75,TR,1710292919
port lincoln,-34.7333,135.8667,294.6,75,100,5.76,AU,1710292919
ifrane,33.3333,-5.25,282.11,49,100,2.75,MA,1710292920
kuruman,-27.4524,23.4325,297.59,36,71,2.83,ZA,1710292923
aqsay,51.1678,52.995,265.6,96,97,2.82,KZ,1710292924
san patricio,28.017,-97.5169,295.2,76,100,5.78,US,1710292926
bentiu,9.2333,29.8333,302.65,21,76,1.91,SS,1710292926
williams lake,52.1415,-122.1445,279.91,45,40,1.03,CA,1710292927
toyooka,35.5333,134.8333,280.18,61,75,3.6,JP,1710292929
aioun,16.6614,-9.6149,300.03,14,10,5.02,MR,1710292929
mukalla,14.5425,49.1242,298.97,81,100,1.88,YE,1710292991
nakkila,61.3667,22.0,268.09,86,0,1.03,FI,1710292994
fisterra,42.9049,-9.2629,280.79,78,13,4.29,ES,1710292995
amparafaravola,-17.5833,48.2167,291.85,94,71,1.91,MG,1710292997
nizhnesortymskiy,62.4397,71.7603,250.91,100,85,4.29,RU,1710292998
hanzhong,33.0728,107.0303,284.24,85,100,0.7,CN,1710292998
pingdu,36.7844,119.9464,281.55,46,100,4.61,CN,1710292999
ascoli satriano,41.2061,15.5615,277.84,78,36,3.65,IT,1710293000
wellington,-41.2866,174.7756,292.07,66,75,7.72,NZ,1710292828
lithgow,-33.4833,150.15,294.07,28,100,2.71,AU,1710293002
malax,62.9423,21.5731,270.3,80,75,2.57,FI,1710293004
